train_no,train_name,type_code
04201,Lucknow -New Delhi Special,EXP-TRAINS
04202,New Delhi-Lucknow tri-weekly Special,EXP-TRAINS
04203,Varanasi-Old Delhi Special,EXP-TRAINS
11067-Slip,Saket Express Slip,EXP-TRAINS
11108,Varanasi-Gwalior Bundelkhand Express,EXP-TRAINS
11109,Jhansi-Lucknow Intercity Express,EXP-TRAINS
11110,Lucknow-Jhansi InterCity,EXP-TRAINS
11123,Barauni-Gwalior Mail,EXP-TRAINS
11124,Gwalior Barauni Mail,EXP-TRAINS
11125,Indore Gwalior Express,EXP-TRAINS
11126,Gwalior Indore Express,EXP-TRAINS
11454,Prerna Express,EXP-TRAINS
52071,BARI SADRI - MAVLI PASSENGER,PASS-TRAINS
11063-Slip,Chennai Salem Express Slip,EXP-TRAINS
11065,MUMBAI LTT - DARBHANGA Pawan Exp,EXP-TRAINS
11066,DARBHANGA - MUMBAI LTT Pawan Exp,EXP-TRAINS
11067,MUMBAI LTT - FAIZABAD Saket Exp,EXP-TRAINS
11068,FAIZABAD - MUMBAI LTT Saket Exp,EXP-TRAINS
11069,Tulsi Express,EXP-TRAINS
11070,Tulsi Express,EXP-TRAINS
11071,Kamayani Express,EXP-TRAINS
11072,Kamayani Express,EXP-TRAINS
11077,Jhelum Express,EXP-TRAINS
11078,Jhelum Express,EXP-TRAINS
11087,Veraval Pune Express,EXP-TRAINS
11088,Pune Veraval Express,EXP-TRAINS
11089,BHAGAT KI KOTHI - PUNE Exp,EXP-TRAINS
11090,PUNE - BHAGAT KI KOTHI Exp,EXP-TRAINS
11091,BHUJ - PUNE Ahimsa Exp,EXP-TRAINS
11092,PUNE - BHUJ Ahimsa Exp,EXP-TRAINS
11093,MUMBAI CST - VARANASI Mahanagari Exp,EXP-TRAINS
11094,VARANASI - MUMBAI CST Mahanagari Exp,EXP-TRAINS
11095,Ahimsa Express,EXP-TRAINS
11096,Ahimsa Express,EXP-TRAINS
11105,Pratham Swatantrata Sangram Express,EXP-TRAINS
11106,Pratham Swatantrata Sangram Express,EXP-TRAINS
11266,AMBIKAPUR - JABALPUR Exp,EXP-TRAINS
11401,Nandigram Express,EXP-TRAINS
11402,Nandigram Express,EXP-TRAINS
11403,NAGPUR - KOLHAPUR EXP,EXP-TRAINS
11404,KOLHAPUR - NAGPUR EXP,EXP-TRAINS
11423,Solapur - Hubli Express,EXP-TRAINS
11424,Hubli Jn - Solapur Express,EXP-TRAINS
11447,JABALPUR - KOL HOWRAH Shaktipunj Exp,EXP-TRAINS
11448,HOWRAH - JABALPUR Shaktipunj Exp,EXP-TRAINS
11449,JABALPUR - SHRI MATA VAISHNO DEVI KATRA Express,EXP-TRAINS
11450,SHRI MATA VAISHNO DEVI KATRA - JABALPUR Express,EXP-TRAINS
11451,JABALPUR - REWA Intercity Exp,EXP-TRAINS
11452,REWA - JABALPUR Intercity Exp,EXP-TRAINS
11453,Prerna Express,EXP-TRAINS
11463,Somnath-Jabalpur Express,EXP-TRAINS
11464,Jabalpur-Somnath Express,EXP-TRAINS
11471,Indore-Jabalpur Overnight Express,EXP-TRAINS
11472,Jabalpur-Indore Express,EXP-TRAINS
12003,Lucknow-NewDelhi Swarn Shatabdi Express,SHT-TRAINS
12020,Ranchi-Howrah Shatabdi Express,SHT-TRAINS
12021,Barbil Janshatabdi,SHT-TRAINS
12022,Barbil Howrah Janshatabdi,SHT-TRAINS
12189,JABALPUR - DELHI H NIZAMUDDIN Mahakoshal SF Exp,SF-TRAINS
53030,Bhagalpur Azimganj Passenger,PASS-TRAINS
56385,Ernakulam Kottayam Passenger,PASS-TRAINS
11465,SOMNATH - JABALPUR Exp (via Bina),EXP-TRAINS
11466,JABALPUR - SOMNATH Exp (via Bina),EXP-TRAINS
11702,INDORE - JABALPUR Intercity Exp,EXP-TRAINS
12002,New Delhi-Bhopal Shatabdi Express,SHT-TRAINS
12004,NewDelh-Lucknowi Swarn Shatabdi Express,SHT-TRAINS
12005,New Delhi-Kalka Shatabdi,SHT-TRAINS
12006,Kalka-New Delhi Shatabdi,SHT-TRAINS
12008,MYSORE - CHENNAI CENT Shatabdi Express,SHT-TRAINS
12009,Mumbai-Ahmedabad Shatabdi Express,SHT-TRAINS
12010,Ahmedabad-Mumbai Central Shatabdi,SHT-TRAINS
12011,Kalka Shatabdi Express,SHT-TRAINS
12012,Kalka-New Delhi Shatabdi,SHT-TRAINS
12013,New Delhi-Amritsar Shatabdi Express,SHT-TRAINS
12014,Amritsar-NewDelhi Shatabdi,SHT-TRAINS
12015,New Delhi-Ajmer Shatabdi,SHT-TRAINS
12016,Ajmer-New Delhi Shatabdi,SHT-TRAINS
12017,New Delhi-Dehradun Shatabdi,SHT-TRAINS
12018,Dehradun-New Delhi Shatabdi,SHT-TRAINS
12023,Howrah-Patna Jan Shatabdi,SHT-TRAINS
12024,Patna-Howrah Jan Shatabdi,SHT-TRAINS
12025,Pune-Secunderabad Shatabdi Express,SHT-TRAINS
12026,Secunderabad-Pune Shatabdi,SHT-TRAINS
12028,BANGALORE CITY - CHENNAI CENT Shatabdi Exp,SHT-TRAINS
12029,New Delhi-Amritsar Swarna Shatabdi Express,SHT-TRAINS
12031,Amritsar Shatabdi Express,SHT-TRAINS
12032,Amritsar Shatabdi Express,SHT-TRAINS
12033,Kanpur Shatabdi,SHT-TRAINS
12034,New Delhi-Kanpur Shatabdi Express,SHT-TRAINS
12037,New Delhi-Ludhiana Shatabdi Express,SHT-TRAINS
12038,Ludhiana-New Delhi Shatabdi Express,SHT-TRAINS
12051,DADAR - MADGAON Jan Shatabdi Exp,SHT-TRAINS
12052,MADGAON - DADAR Jan Shatabdi Exp,SHT-TRAINS
12053,Haridwar Amritsar Jan Shatabdi Express,SHT-TRAINS
12054,Amritsar Haridwar Jan Shatabdi,SHT-TRAINS
12055,Dehradun Jan Shatabdi Express,SHT-TRAINS
12059,Kota-Hazrat Nizamuddin Jan Shatabdi,SHT-TRAINS
12060,Hazarat Nizamuddin-Kota Jan Shatabdi,SHT-TRAINS
12063,Haridwar Chandigarh Una Link Jan Shatabdi Express,SHT-TRAINS
12064,Una Chandigarh Haridwar Link Jan Shatabdi,SHT-TRAINS
12067,Guwahati Jorhat Jan Shatabdi,SHT-TRAINS
12083,Mayiladuturai-Coimbatore Jan Shatabdi,SHT-TRAINS
12107,Mumbai LTT Lucknow Superfast Express,SF-TRAINS
12108,Lucknow Mumbai LTT Superfast Express,SF-TRAINS
12110,Panchavati Express,SF-TRAINS
12118,Manmad-Mumbai LTT Express,SF-TRAINS
56389,Ernakulam Kottayam Passenger,PASS-TRAINS
12056,Dehradun Jan Shatabdi Express,SHT-TRAINS
12057,New Delhi-Una Janshatabdi,SHT-TRAINS
12058,Una-New Delhi Janshatabdi,SHT-TRAINS
12061,HabibGanj Bhopal-Jabalpur Jan Shatabdi,SHT-TRAINS
12062,Jabalpur-HabibGanj Bhopal Jan Shatabdi,SHT-TRAINS
12068,Jorhat Guwahati Jan Shatabdi,SHT-TRAINS
12069,Raigarh-Gondia Jan Shatabdi,SHT-TRAINS
12070,Gondia-Raigarh Jan Shatabdi,SHT-TRAINS
12072,Aurangabad Mumbai Jan Shatabdi,SHT-TRAINS
12074,Bhubaneswar-Howrah Jan Shatabdi Express,SHT-TRAINS
